"Name(ocultar)";"Futbolista_ID";"GK";"DL";"DC";"DR";"WBL";"WBR";"DM";"ML";"MC";"MR";"AML";"AMC";"AMR";"ST"
"Wilfried Zaha";"248";"1";"1";"1";"1";"1";"1";"1";"15";"1";"12";"20";"1";"17";"18"
"Marcos Acuña";"249";"1";"20";"10";"1";"20";"1";"10";"19";"10";"5";"18";"10";"13";"1"
"Yassine Bounou";"250";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jarrod Bowen";"251";"1";"1";"1";"1";"1";"1";"1";"15";"1";"15";"19";"18";"20";"14"
"Aaron Ramsdale";"252";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Gabriel Paulista";"253";"1";"12";"20";"14";"8";"8";"1";"1";"1";"1";"1";"1";"1";"1"
"Héctor Herrera";"254";"1";"1";"1";"10";"1";"1";"12";"10";"20";"10";"1";"9";"1";"1"
"Tomáš Souček";"255";"1";"1";"12";"1";"1";"1";"17";"1";"20";"1";"1";"1";"1";"1"
"Enzo Fernández";"256";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"15";"1";"1"
"Pedro Porro";"257";"1";"9";"1";"19";"9";"20";"1";"1";"1";"17";"1";"1";"14";"1"
"Bruno Guimarães";"258";"1";"1";"10";"1";"1";"1";"19";"12";"20";"1";"1";"1";"1";"1"
"Hakim Ziyech";"259";"1";"1";"1";"1";"1";"1";"1";"17";"19";"17";"17";"20";"19";"13"
"Allan Saint-Maximin";"260";"1";"1";"1";"1";"1";"1";"1";"15";"1";"15";"20";"14";"19";"15"
"Darwin Núñez";"261";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"1";"12";"20"
"Raúl Jiménez";"262";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"13";"13";"20"
"Mauro Icardi";"263";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Stanislav Lobotka";"264";"1";"1";"1";"1";"1";"1";"20";"1";"18";"1";"1";"14";"1";"1"
"Danilo";"265";"1";"17";"17";"20";"14";"16";"12";"1";"10";"9";"1";"1";"1";"1"
"Danilo Pereira";"266";"1";"1";"19";"1";"1";"1";"20";"1";"15";"1";"1";"1";"1";"1"
"Matheus Nunes";"267";"1";"1";"1";"1";"1";"1";"14";"5";"20";"13";"10";"16";"13";"1"
"Neto";"268";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Vitinha";"269";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"13";"1";"1"
"André Onana";"270";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Angeliño";"271";"1";"20";"8";"1";"19";"1";"8";"16";"8";"1";"14";"1";"1";"1"
"Pierre Kalulu";"272";"1";"14";"20";"17";"8";"12";"1";"1";"1";"11";"1";"1";"1";"1"
"Konrad Laimer";"273";"1";"1";"1";"16";"1";"16";"17";"14";"20";"13";"13";"10";"12";"1"
"Raphaël Guerreiro";"274";"1";"20";"1";"1";"20";"1";"10";"13";"15";"1";"12";"8";"1";"5"
"Thomas Lemar";"275";"1";"10";"1";"1";"18";"1";"1";"19";"17";"13";"20";"18";"14";"1"
"Geoffrey Kondogbia";"276";"1";"1";"1";"1";"1";"1";"20";"1";"19";"1";"1";"5";"1";"1"
"Robin Le Normand";"277";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ansu Fati";"278";"1";"1";"1";"1";"1";"1";"1";"14";"1";"13";"20";"10";"19";"19"
"Amir Rrahmani";"279";"1";"14";"20";"13";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Felipe Anderson";"280";"1";"1";"1";"1";"8";"5";"1";"12";"1";"12";"18";"13";"20";"14"
"Javi Galán";"281";"1";"20";"1";"1";"20";"1";"1";"13";"1";"1";"8";"1";"1";"1"
"Rodrigo Bentancur";"282";"1";"1";"1";"1";"1";"1";"18";"7";"20";"7";"1";"8";"1";"1"
"Nuno Mendes";"283";"1";"20";"13";"1";"20";"1";"1";"14";"1";"1";"1";"1";"1";"1"
"Alex Oxlade-Chamberlain";"284";"1";"1";"1";"1";"1";"14";"8";"12";"20";"15";"14";"16";"17";"12"
"Jurriën Timber";"285";"1";"14";"20";"18";"10";"17";"18";"1";"13";"10";"1";"1";"1";"1"
"Davide Calabria";"286";"1";"17";"1";"20";"13";"18";"12";"10";"12";"13";"1";"1";"1";"1"
"Teun Koopmeiners";"287";"1";"8";"14";"1";"1";"1";"19";"1";"20";"1";"1";"1";"1";"1"
"Lorenzo Insigne";"288";"1";"1";"1";"1";"1";"1";"1";"11";"1";"1";"20";"14";"11";"18"
"Henrikh Mkhitaryan";"289";"1";"1";"1";"1";"1";"1";"1";"13";"18";"12";"16";"20";"12";"10"
"Wilfred Ndidi";"290";"1";"6";"14";"8";"6";"6";"20";"1";"19";"1";"1";"10";"1";"1"
"Manuel Locatelli";"291";"1";"1";"1";"1";"1";"1";"20";"1";"20";"1";"1";"11";"1";"1"
"João Moutinho";"292";"1";"1";"1";"1";"1";"1";"20";"9";"20";"9";"1";"15";"1";"1"
"Leandro Paredes";"293";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"12";"1";"1"
"Emiliano Martínez";"294";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"João Mário";"295";"1";"1";"1";"1";"1";"1";"11";"18";"20";"18";"15";"18";"12";"1"
"Pedro";"296";"1";"1";"1";"1";"1";"1";"1";"10";"1";"10";"20";"17";"20";"12"
"Lucas Veríssimo";"297";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Hirving Lozano";"298";"1";"1";"1";"1";"1";"1";"1";"10";"1";"10";"18";"12";"20";"16"
"Gavi";"299";"1";"1";"1";"1";"1";"1";"15";"10";"20";"14";"10";"17";"12";"5"
"Ruben Loftus-Cheek";"300";"1";"1";"1";"1";"1";"10";"15";"10";"20";"10";"10";"19";"12";"11"
"Marcel Sabitzer";"301";"1";"10";"1";"10";"10";"10";"15";"10";"20";"10";"12";"15";"15";"10"
"Nikola Milenković";"302";"1";"1";"20";"16";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Simon Kjær";"303";"1";"1";"20";"1";"1";"1";"8";"1";"1";"1";"1";"1";"1";"1"
"Erik Lamela";"304";"1";"1";"1";"1";"1";"1";"1";"13";"1";"12";"18";"19";"20";"13"
"Giorgio Chiellini";"305";"1";"11";"20";"1";"6";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Luis Muriel";"306";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"14";"8";"20"
"Youssef En-Nesyri";"307";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"9";"10";"20"
"Matteo Politano";"308";"1";"1";"1";"1";"6";"9";"1";"10";"1";"14";"15";"15";"20";"16"
"Jonny Evans";"309";"1";"12";"20";"11";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Takehiro Tomiyasu";"310";"1";"17";"15";"20";"15";"16";"10";"1";"1";"1";"1";"1";"1";"1"
"Edmond Tapsoba";"311";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Filip Kostić";"312";"1";"10";"1";"1";"18";"1";"1";"20";"10";"14";"18";"10";"14";"1"
"César Azpilicueta";"313";"1";"19";"18";"20";"16";"15";"1";"1";"1";"1";"1";"1";"1";"1"
"Pierre-Emile Højbjerg";"314";"1";"10";"13";"10";"10";"12";"18";"11";"20";"11";"11";"14";"11";"1"
"Brais Méndez";"315";"1";"1";"1";"1";"1";"1";"1";"1";"15";"12";"1";"18";"20";"1"
"Jonas Hofmann";"316";"1";"1";"1";"14";"10";"14";"10";"10";"17";"15";"14";"15";"20";"10"
"Denis Suárez";"317";"1";"1";"1";"1";"1";"1";"1";"15";"17";"7";"18";"20";"12";"10"
"Callum Hudson-Odoi";"318";"1";"1";"1";"1";"1";"15";"1";"15";"1";"15";"20";"16";"19";"9"
"Nélson Semedo";"319";"1";"13";"1";"20";"10";"20";"1";"1";"1";"10";"1";"1";"10";"1"
"Gabriel Martinelli";"320";"1";"1";"1";"1";"1";"1";"1";"12";"1";"10";"20";"13";"16";"19"
"Edinson Cavani";"321";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"1";"5";"20"
"Richarlison";"322";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"1";"16";"19"
"André Silva";"323";"1";"1";"1";"1";"1";"1";"1";"10";"1";"9";"10";"12";"9";"20"
"Antony";"324";"1";"1";"1";"1";"1";"1";"1";"10";"10";"18";"14";"15";"20";"15"
"Felipe";"325";"1";"1";"20";"13";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Gabriel";"326";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Oscar";"327";"1";"1";"1";"1";"1";"1";"5";"14";"18";"13";"14";"20";"15";"1"
"Pepê";"328";"1";"1";"1";"14";"1";"10";"1";"15";"14";"15";"20";"12";"18";"12"
"Weverton";"329";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Alex Meret";"330";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Maximiliano Gómez";"331";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Francesco Acerbi";"332";"1";"8";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Emile Smith Rowe";"333";"1";"1";"1";"1";"1";"1";"1";"14";"14";"14";"19";"20";"16";"8"
"Pierre-Emerick Aubameyang";"334";"1";"1";"1";"1";"1";"1";"1";"10";"1";"12";"19";"1";"15";"20"
"Lucas Paquetá";"335";"1";"1";"1";"1";"1";"1";"1";"13";"19";"14";"13";"20";"15";"12"
"Domenico Berardi";"336";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"12";"12";"20";"16"
"Benjamin White";"337";"1";"1";"20";"17";"1";"12";"13";"1";"12";"1";"1";"1";"1";"1"
"Eduardo Camavinga";"338";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"1";"1";"1"
"Mattia Zaccagni";"339";"1";"1";"1";"1";"1";"1";"11";"11";"11";"8";"20";"18";"12";"12"
"Leonardo Spinazzola";"340";"1";"19";"10";"12";"20";"12";"1";"20";"1";"12";"10";"1";"10";"1"
"Martin Terrier";"341";"1";"1";"1";"1";"1";"1";"1";"13";"11";"13";"20";"18";"16";"19"
"Andrej Kramarić";"342";"1";"1";"1";"1";"1";"1";"1";"12";"1";"10";"14";"16";"12";"20"
"Ivan Rakitic";"343";"1";"1";"1";"1";"1";"1";"16";"10";"20";"10";"11";"15";"10";"1"
"Marten de Roon";"344";"1";"1";"10";"1";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Lewis Dunk";"345";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Hugo Lloris";"346";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Rui Patrício";"347";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Daley Blind";"348";"1";"19";"20";"10";"18";"8";"20";"14";"14";"1";"1";"1";"1";"1"
"Mário Rui";"349";"1";"20";"1";"1";"18";"1";"1";"16";"1";"1";"1";"1";"1";"1"
"Luke Shaw";"350";"1";"20";"13";"1";"16";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Mario Pašalić";"351";"1";"1";"1";"1";"1";"1";"12";"1";"20";"1";"1";"20";"1";"1"
"Lucas Vázquez";"352";"1";"1";"1";"16";"1";"18";"1";"1";"1";"20";"1";"1";"16";"1"
"Adrien Rabiot";"353";"1";"9";"7";"1";"12";"1";"18";"18";"20";"1";"1";"10";"1";"1"
"Nicolás González";"354";"1";"1";"1";"1";"1";"1";"1";"15";"1";"11";"20";"10";"18";"17"
"Lucas Digne";"355";"1";"20";"13";"1";"18";"1";"1";"13";"1";"1";"7";"1";"1";"1"
"Ante Rebić";"356";"1";"1";"1";"1";"1";"1";"1";"10";"1";"8";"20";"14";"11";"18"
"Mario Götze";"357";"1";"1";"1";"1";"1";"1";"6";"12";"16";"12";"13";"20";"13";"16"
"Fernandinho";"358";"1";"1";"14";"10";"1";"1";"20";"12";"20";"13";"1";"12";"1";"1"
"Jonny";"359";"1";"19";"14";"18";"20";"16";"1";"1";"1";"1";"1";"1";"1";"1"
"Luis Suárez";"360";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"9";"11";"8";"20"
"Raúl García";"361";"1";"1";"1";"1";"1";"1";"1";"10";"16";"13";"6";"20";"13";"18"
"Adama Traoré";"362";"1";"1";"1";"1";"1";"13";"1";"16";"1";"18";"16";"10";"20";"13"
"Rafael Toloi";"363";"1";"1";"20";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Roger Ibañez";"364";"1";"8";"20";"10";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Denis Zakaria";"365";"1";"1";"13";"1";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Lucas Torreira";"366";"1";"1";"1";"1";"1";"1";"20";"1";"16";"1";"1";"1";"1";"1"
"Julián Álvarez";"367";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"16";"17";"20"
"Étienne Capoue";"368";"1";"1";"7";"12";"1";"12";"20";"7";"20";"7";"1";"4";"1";"1"
"Aleksandar Mitrović";"369";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Julian Brandt";"370";"1";"1";"1";"1";"1";"1";"1";"20";"17";"15";"20";"18";"15";"10"
"Jordan Pickford";"371";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Nicolas Pépé";"372";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"16";"1";"20";"12"
"Joan Jordán";"373";"1";"1";"1";"1";"1";"1";"16";"1";"20";"1";"1";"14";"1";"1"
"Evanilson";"374";"1";"1";"1";"1";"1";"1";"1";"12";"1";"1";"15";"1";"1";"20"
"Álex Grimaldo";"375";"1";"20";"1";"1";"20";"1";"1";"16";"12";"1";"14";"1";"1";"1"
"Claudinho";"376";"1";"1";"1";"1";"1";"1";"13";"13";"19";"12";"16";"20";"16";"14"
"Emre Can";"377";"1";"14";"15";"15";"10";"10";"20";"8";"20";"8";"1";"10";"1";"1"
"Martín Zubimendi";"378";"1";"1";"1";"1";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Weston McKennie";"379";"1";"1";"8";"8";"1";"8";"14";"14";"20";"15";"12";"15";"14";"1"
"Alexandr Golovin";"380";"1";"1";"1";"1";"1";"1";"12";"18";"15";"12";"15";"20";"14";"1"
"Ruslan Malinovskyi";"381";"1";"1";"1";"1";"1";"1";"11";"1";"18";"1";"10";"20";"10";"14"
"Giacomo Raspadori";"382";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"16";"17";"10";"20"
"Luiz Felipe";"383";"1";"11";"20";"11";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Pedro";"384";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Hulk";"385";"1";"1";"1";"1";"1";"1";"1";"7";"8";"10";"14";"11";"15";"20"
"Fredrik Aursnes";"386";"1";"1";"1";"1";"1";"1";"19";"10";"20";"10";"10";"15";"10";"1"
"Kevin Volland";"387";"1";"1";"1";"1";"1";"1";"1";"12";"1";"15";"12";"17";"16";"20"
"Harry Maguire";"388";"1";"1";"20";"10";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Charles De Ketelaere";"389";"1";"1";"1";"1";"1";"1";"1";"12";"16";"12";"13";"20";"13";"18"
"Walter Benítez";"390";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"David De Gea";"391";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Kyle Walker-Peters";"392";"1";"18";"1";"20";"13";"18";"1";"1";"1";"10";"1";"1";"1";"1"
"Thomas Delaney";"393";"1";"8";"10";"1";"1";"1";"20";"11";"20";"1";"11";"1";"1";"1"
"Xaver Schlager";"394";"1";"12";"1";"1";"10";"1";"18";"12";"20";"12";"10";"14";"10";"1"
"William Saliba";"395";"1";"1";"20";"14";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Óliver";"396";"1";"1";"1";"1";"1";"1";"7";"17";"20";"14";"16";"19";"12";"1"
"Robin Gosens";"397";"1";"20";"1";"1";"20";"1";"1";"19";"1";"1";"1";"1";"1";"1"
"Brahim Díaz";"398";"1";"1";"1";"1";"1";"1";"1";"8";"12";"8";"16";"20";"17";"8"
"Timothy Castagne";"399";"1";"18";"12";"20";"18";"20";"1";"16";"1";"16";"1";"1";"10";"1"
"Noussair Mazraoui";"400";"1";"12";"10";"20";"12";"18";"18";"1";"16";"16";"1";"10";"16";"1"
"Adam Marušić";"401";"1";"18";"11";"20";"15";"20";"1";"12";"1";"15";"4";"1";"11";"1"
"Miralem Pjanić";"402";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"14";"1";"1"
"Juan Foyth";"403";"1";"1";"19";"20";"1";"10";"16";"1";"1";"1";"1";"1";"1";"1"
"Malcom";"404";"1";"1";"1";"1";"1";"1";"1";"13";"10";"16";"17";"18";"20";"10"
"Aritz Elustondo";"405";"1";"1";"20";"16";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Jesús Navas";"406";"1";"1";"1";"20";"1";"19";"1";"1";"1";"18";"1";"1";"16";"1"
"Ander Herrera";"407";"1";"1";"1";"1";"1";"1";"17";"9";"20";"9";"10";"14";"10";"1"
"José Campaña";"408";"1";"1";"1";"1";"1";"1";"17";"14";"20";"12";"10";"18";"10";"1"
"Joaquín Correa";"409";"1";"1";"1";"1";"1";"1";"1";"10";"1";"8";"15";"18";"12";"20"
"Alessio Romagnoli";"410";"1";"10";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Suso";"411";"1";"1";"1";"1";"1";"1";"1";"9";"12";"16";"14";"16";"20";"12"
"Gregor Kobel";"412";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Renato Tapia";"413";"1";"1";"15";"1";"1";"1";"20";"5";"17";"5";"1";"2";"1";"1"
"Unai Vencedor";"414";"1";"1";"10";"1";"1";"1";"20";"1";"19";"1";"1";"1";"1";"1"
"Bryan Cristante";"415";"1";"1";"15";"1";"1";"1";"20";"1";"20";"1";"1";"10";"1";"1"
"Anthony Martial";"416";"1";"1";"1";"1";"1";"1";"1";"12";"1";"10";"16";"1";"14";"20"
"Uğurcan Çakır";"417";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Saúl";"418";"1";"10";"11";"8";"11";"9";"18";"18";"20";"16";"11";"10";"11";"1"
"Juan Musso";"419";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Merih Demiral";"420";"1";"1";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Manuel Lazzari";"421";"1";"1";"1";"20";"1";"20";"1";"1";"1";"15";"1";"1";"11";"1"
"Alessandro Florenzi";"422";"1";"11";"1";"20";"10";"20";"1";"9";"13";"18";"8";"7";"15";"1"
"Giovani Lo Celso";"423";"1";"1";"1";"1";"1";"1";"16";"18";"20";"7";"1";"20";"1";"1"
"Sergi Roberto";"424";"1";"1";"1";"15";"1";"15";"18";"1";"20";"15";"1";"8";"10";"1"
"Marek Hamšík";"425";"1";"1";"1";"1";"1";"1";"10";"1";"20";"1";"1";"18";"1";"1"
"Raúl De Tomás";"426";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"14";"10";"20"
"Santi Mina";"427";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"11";"1";"13";"20"
"Emil Forsberg";"428";"1";"1";"1";"1";"1";"1";"1";"18";"12";"15";"18";"20";"15";"12"
"Jordan Veretout";"429";"1";"1";"1";"1";"1";"1";"17";"10";"20";"1";"1";"10";"1";"1"
"José Luis Palomino";"430";"1";"14";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Renato Sanches";"431";"1";"1";"1";"1";"1";"1";"18";"13";"20";"13";"11";"15";"15";"1"
"Sergi Darder";"432";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"1";"1";"1"
"Federico Dimarco";"433";"1";"20";"19";"1";"19";"1";"1";"17";"1";"1";"1";"1";"1";"1"
"Íñigo Martínez";"434";"1";"10";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Téji Savanier";"435";"1";"1";"1";"1";"1";"1";"13";"1";"17";"1";"1";"20";"1";"1"
"Andy Delort";"436";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"1";"13";"20"
"Fernando";"437";"1";"1";"12";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Allan";"438";"1";"1";"1";"5";"1";"8";"20";"1";"18";"10";"1";"1";"1";"1"
"Charles Aránguiz";"439";"1";"1";"1";"1";"1";"1";"19";"8";"20";"8";"11";"13";"11";"1"
"Mohammed Salisu";"440";"1";"11";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Nicolás Tagliafico";"441";"1";"20";"13";"1";"18";"1";"12";"16";"1";"1";"10";"1";"1";"1"
"Álex Berenguer";"442";"1";"14";"1";"8";"17";"12";"1";"19";"1";"17";"20";"15";"15";"14"
"Kiernan Dewsbury-Hall";"443";"1";"1";"1";"1";"10";"1";"16";"10";"20";"1";"1";"17";"1";"1"
"Wílmar Barrios";"444";"1";"1";"13";"10";"1";"1";"20";"1";"15";"7";"1";"1";"1";"1"
"Kepa Arrizabalaga";"445";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Conor Gallagher";"446";"1";"1";"1";"1";"1";"1";"14";"12";"20";"12";"1";"16";"1";"1"
"Clément Lenglet";"447";"1";"12";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Harvey Barnes";"448";"1";"1";"1";"1";"7";"1";"1";"18";"10";"13";"20";"15";"15";"12"
"Kevin Trapp";"449";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Trevoh Chalobah";"450";"1";"8";"20";"12";"5";"10";"19";"1";"17";"6";"1";"1";"1";"1"
"Éver Banega";"451";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"17";"1";"1"
"Florian Thauvin";"452";"1";"1";"1";"1";"1";"1";"1";"13";"10";"14";"16";"15";"20";"10"
"Cristiano Biraghi";"453";"1";"20";"11";"7";"20";"7";"1";"16";"1";"7";"1";"1";"1";"1"
"Douglas Santos";"454";"1";"20";"16";"13";"18";"1";"17";"13";"13";"1";"11";"1";"1";"1"
"Ivan Provedel";"455";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Gianluca Mancini";"456";"1";"1";"20";"8";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Reinildo";"457";"1";"20";"16";"1";"18";"1";"1";"13";"1";"1";"16";"1";"1";"1"
"Remo Freuler";"458";"1";"1";"1";"1";"1";"1";"18";"9";"20";"7";"1";"11";"1";"1"
"Kasper Schmeichel";"459";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Callum Wilson";"460";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Thorgan Hazard";"461";"1";"8";"1";"5";"10";"8";"8";"20";"12";"18";"20";"15";"18";"15"
"Fred";"462";"1";"1";"1";"1";"1";"1";"16";"10";"20";"1";"10";"12";"1";"1"
"Giorgian De Arrascaeta";"463";"1";"1";"1";"1";"1";"1";"1";"17";"12";"1";"17";"20";"1";"1"
"Juan Bernat";"464";"1";"20";"1";"1";"20";"1";"1";"15";"1";"1";"15";"1";"1";"1"
"Hidemasa Morita";"465";"1";"1";"5";"10";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Ben Davies";"466";"1";"20";"18";"1";"15";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Gerard Deulofeu";"467";"1";"1";"1";"1";"1";"1";"1";"11";"1";"11";"19";"5";"17";"20"
"Florian Grillitsch";"468";"1";"1";"16";"1";"1";"1";"20";"12";"19";"12";"12";"15";"12";"10"
"Alfonso Pedraza";"469";"1";"20";"1";"1";"18";"1";"1";"16";"1";"11";"16";"10";"11";"1"
"Alexis Mac Allister";"470";"1";"1";"1";"1";"1";"1";"18";"13";"18";"1";"14";"20";"14";"12"
"Eric García";"471";"1";"1";"20";"12";"1";"8";"1";"1";"1";"1";"1";"1";"1";"1"
"Rafa Mir";"472";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"1";"5";"20"
"Marcos Alonso";"473";"1";"18";"12";"1";"20";"1";"1";"19";"1";"1";"1";"1";"1";"1"
"Ismaïla Sarr";"474";"1";"1";"1";"1";"1";"1";"1";"10";"1";"14";"18";"10";"20";"15"
"Axel Witsel";"475";"1";"1";"15";"1";"1";"1";"20";"8";"20";"10";"8";"12";"10";"1"
"Divock Origi";"476";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"18";"1";"14";"20"
"Pablo Fornals";"477";"1";"1";"1";"1";"1";"1";"10";"13";"18";"11";"18";"20";"11";"1"
"Dudu";"478";"1";"1";"1";"1";"1";"1";"1";"12";"8";"10";"20";"13";"20";"9"
"Arthur";"479";"1";"1";"1";"1";"1";"1";"17";"1";"20";"1";"1";"13";"1";"1"
"James Justin";"480";"1";"19";"16";"20";"18";"18";"10";"1";"10";"1";"1";"1";"1";"1"
"Renato Augusto";"481";"1";"1";"1";"1";"1";"1";"17";"14";"20";"15";"15";"19";"15";"10"
"Lucas Moura";"482";"1";"1";"1";"1";"1";"1";"1";"1";"5";"20";"15";"14";"20";"15"
"Gerónimo Rulli";"483";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Victor Lindelöf";"484";"1";"5";"20";"14";"1";"13";"10";"1";"3";"1";"1";"1";"1";"1"
"Francis Coquelin";"485";"1";"8";"1";"8";"8";"8";"19";"8";"20";"17";"1";"1";"1";"1"
"Ademola Lookman";"486";"1";"1";"1";"1";"1";"1";"1";"18";"1";"15";"20";"16";"18";"16"
"Nikola Vlašić";"487";"1";"1";"1";"1";"1";"1";"7";"12";"16";"11";"15";"20";"16";"12"
"Mario Hermoso";"488";"1";"17";"20";"1";"12";"1";"1";"8";"1";"1";"1";"1";"1";"1"
"Koen Casteels";"489";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Dominik Livaković";"490";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Manuel Ugarte";"491";"1";"1";"1";"1";"1";"1";"20";"1";"17";"13";"1";"7";"1";"1"
"Germán Pezzella";"492";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Danny Ings";"493";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"12";"12";"20"
"Séko Fofana";"494";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"12";"10";"1";"1"
"Curtis Jones";"495";"1";"1";"1";"1";"1";"1";"12";"1";"20";"1";"19";"16";"14";"12"
"Ivan Toney";"496";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
